Designator,Mid X,Mid Y,Rotation,Layer
_2,134.52,-93.13,0.0,bottom
,140.15,-90.065,0.0,bottom
AE1,125.197082,-83.755,180.0,top
C1,133.912082,-101.385,0.0,top
C10,132.537082,-94.13,0.0,top
C11,132.092082,-101.385,0.0,top
C12,138.282082,-102.915,0.0,top
C13,141.627082,-91.915,90.0,top
C14,135.737082,-87.96,0.0,top
C15,133.077082,-87.47,270.0,top
C16,135.757082,-110.4125,270.0,top
C17,140.417082,-110.4125,270.0,top
C18,140.687082,-108.0175,270.0,top
C19,142.892082,-108.775,180.0,top
C2,133.257082,-98.765,180.0,top
C20,141.337082,-110.4075,270.0,top
C21,142.257082,-110.4075,270.0,top
C22,143.257082,-110.4125,270.0,top
C23,144.257082,-110.4125,270.0,top
C24,145.257082,-110.4125,270.0,top
C25,147.24,-111.455,180.0,top
C26,140.942082,-105.99,0.0,top
C27,135.757082,-108.5925,270.0,top
C28,128.485,-113.87,90.0,top
C29,134.317082,-102.335,180.0,top
C3,130.162082,-102.28,270.0,top
C30,136.135,-102.335,180.0,top
C31,134.247082,-92.02,270.0,top
C32,132.682082,-92.585,180.0,top
C33,148.343,-87.571,180.0,top
C34,142.892082,-107.32,180.0,top
C35,149.715,-116.45,0.0,top
C36,146.582082,-105.345,90.0,top
C37,151.99,-92.14,0.0,top
C38,137.112082,-88.78,270.0,top
C39,146.702082,-90.24,180.0,top
C4,135.472082,-91.75,270.0,top
C40,145.197082,-91.675,90.0,top
C41,144.247082,-91.68,270.0,top
C42,142.792082,-91.86,90.0,top
C43,144.442082,-88.585,270.0,top
C44,131.887082,-98.31,90.0,top
C45,131.707082,-87.02,180.0,top
C46,143.297082,-86.615,180.0,top
C5,138.232082,-92.04,270.0,top
C6,142.582082,-96.11,0.0,top
C7,143.065,-100.19,0.0,top
C8,144.872082,-90.125,0.0,top
C9,139.697082,-102.725,270.0,top
D1,149.745,-113.27,270.0,top
D2,148.265,-109.88,0.0,top
D3,137.452082,-106.4125,0.0,top
FPC1,139.507082,-113.45,0.0,top
J1,152.397082,-112.72,0.0,top
J2,147.487082,-84.015,270.0,top
L1,131.039582,-100.08,0.0,top
L2,128.437082,-100.9775,90.0,top
L3,138.949582,-104.575,180.0,top
L4,134.467082,-87.03,180.0,top
L5,132.607082,-86.09,180.0,top
L6,128.317082,-109.4525,90.0,top
L7,130.327082,-87.49,270.0,top
L8,128.927082,-87.03,180.0,top
Q1,131.957082,-108.7375,90.0,top
R1,137.772082,-109.5,90.0,top
R10,145.537082,-96.3,180.0,top
R11,131.002082,-105.705,180.0,top
R12,131.002082,-104.245,180.0,top
R13,140.612082,-86.525,180.0,top
R14,148.712082,-91.165,90.0,top
R15,145.952082,-86.755,180.0,top
R2,147.967082,-93.375,0.0,top
R3,134.567082,-109.8425,90.0,top
R4,131.807082,-111.4425,180.0,top
R5,147.972082,-94.83,0.0,top
R6,146.392082,-88.76,0.0,top
R7,138.4,-85.775,90.0,top
R8,139.227082,-109.28,270.0,top
R9,150.172,-90.194,90.0,top
SW1,124.335,-113.125,90.0,top
SW2,124.337082,-107.62,90.0,top
SW3,124.34,-102.115,90.0,top
U1,146.657082,-107.73,270.0,top
U2,144.342082,-94.175,0.0,top
U3,146.757082,-91.78,0.0,top
U4,138.977082,-89.255,90.0,top
U5,137.982082,-96.6675,0.0,top
U6,151.212082,-93.92,90.0,top
U7,142.332082,-88.46,0.0,top
U8,127.367082,-93.9,180.0,top
USB1,150.139582,-100.745,90.0,top
X1,134.657082,-104.125,0.0,top
X2,132.867082,-89.84,180.0,top
